timestamp,birth_year,current_residence,country_of_origin,education_level,wants_higher_education,field_of_study,employment_status,relation_to_problem,study_job_match,time_to_first_job,first_job_difficulty,main_job_search_barriers,career_guidance_received,experience_barrier,job_scarcity_barrier,low_salary_barrier,temporary_contract_barrier,opportunity_scarcity_barrier,internship_access_barrier,discrimination_barrier,migration_barrier,public_transport_barrier,regional_job_opportunities,regional_career_prospects,mobility_intention,preferred_destination,advice_to_young_people,proposed_public_measure
27-06-26,1976,"España, Asturias",Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),Sí,Administración de empresas,Trabajando,Soy familiar de una persona joven,Sí,Seguidamente,Fácil,Encontrar un puesto de lo que estudié,"Sí, pero fuera de mi institución de estudios",4,4,1,2,2,1,1,1,1,No,Sí,No,,Formarme y desarrollar al máximo mis estudios,Formación y prácticas en empresas
27-06-26,1999,"Francia, Ain",España,Graduado universitario,No,Informática,Trabajando,Soy joven trabajando,Sí,2 meses,Fácil,Ninguna,Sí,1,1,4,5,1,1,1,1,1,No,No,Si,Suiza,Abrir la mente a irse fuera del pais,Regulación de los sueldos
27-06-26,2002,"España, Asturias",Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),Sí,Turismo,Trabajando,Soy joven trabajando,Sí,"Antes de acabar mis estudios, ya me habían ofrecido trabajo",Fácil,"aunque si me fue fácil encontrar trabajo, no resultó ser un trabajo estable con buen salario",No,2,3,3,4,4,1,1,2,1,No,Sí,Si,"Bélgica, UK, Holanda",Seguir formándome o salir del país,Ayudar a las empresas a contratar o facilitar el proceso de contratar a alguien sin experiencia
27-06-26,2000,España,Francia,Estudios técnicos superiores (formación profesional superior),Sí,Diseño de moda,Buscando empleo,Soy joven buscando empleo,,3 años,Muy difícil,Poca demanda,No,4,5,5,3,5,4,5,4,2,No,Sí,Si,Inglaterra,Seguir estudiando,Mayores ofertas para gente joven puesto que se piden años de experiencia
27-06-26,1999,"Europa, España",Es el mismo país al de residencia actual,Estudios obligatorios,Sí,"Ninguno, solo son los estudios obligatorios.",Trabajando,Soy joven trabajando,No,1 año,Neutral,Que los requisitos sean tener x años de experiencia.,No,5,3,2,3,1,3,1,1,1,No,Sí,Si,Alemania,Estudiar lo que me guste y coger la mayor experiencia laboral posible.,Rebajar los años de experiencia requeridos para un puesto de trabajo y facilitar las prácticas a dicho trabajo.
27-06-26,2001,"España, Madrid",Es el mismo país pero otra región del territorio,Estudios obligatorios,Sí,Fotografía,Buscando empleo,Soy joven buscando empleo,,6 años,Muy difícil,,"Sí, pero fuera de mi institución de estudios",1,5,4,5,5,5,3,5,1,Sí,"Hermano no lo sé, técnicamente si pero es todo por contactos y a base de trabajar gratis",Si,Uk,,"En mi campo ayudaría que las plazas publicas para estos trabajos no fuesen solo para quienes han realizado x estudios que solicitan sino para quienes demuestren, por ejemplo mediante un portfolio, que tienen el nivel y capacidades de hacerlo.
Y digo esto porque los trabajos publicos son casi los unicos que existen con ofertas de trabajo a las que puedes aplicar, los demas son por contactos"
27-06-26,2001,"España, Alicante",Es el mismo país al de residencia actual,Graduado universitario,Sí,Biología,Estudiante;Buscando empleo,Soy joven buscando empleo,,2 años,Muy difícil,Falta de experiencia,No,5,4,3,5,5,5,3,5,2,No,Sí,No,,Opositar,Una formación académica que combine teoría y práctica en la misma proporción con colaboración de empresas con lo que se demanda en ese momento y en un futuro próximo para que cuando salgamos al mercado laboral estemos tengamos la experiencia suficiente
27-06-26,2001,"España, Alicante",Es el mismo país al de residencia actual,Graduado universitario,No,Diseño,Trabajando,Soy joven trabajando,Sí,7-8 meses,Difícil,"Muchas personas optando por el mismo puesto, mucha competitividad",No,3,2,4,5,3,1,1,3,1,No,Sí,No,,,La creación de bolsas de empleo para jóvenes que no sean solo prácticas
27-06-26,1999,"España, Asturias",Es el mismo país al de residencia actual,Estudios técnicos superiores (formación profesional superior),No,Artesanía y Manualidades,Buscando empleo,Soy joven buscando empleo,,Año y 3 meses,Muy difícil,Ofertas temporales sin contrato,"Sí, pero fuera de mi institución de estudios",1,3,1,3,3,3,1,2,2,No,No,Si,Suiza,Priorizar la experiencia laboral a los estudios,Un convenio de practicas mejor regulado sin exceso de requisitos
27-06-26,1999,"España, Asturias",Es el mismo país al de residencia actual,Estudios técnicos medios (formación profesional media),Sí,Electricista,Trabajando,Soy joven trabajando,Sí,1 año,Muy difícil,"Piden experiencia hasta para ser ayudante, evidentemente recién titulado no poseo experiencia alguna",No,5,3,3,1,5,3,4,1,1,No,"Anda en un limbo entre si y no, básicamente es un poco cuestión de suerte",Si,Alemania,Haber insistido más para que me metieran a una empresa de mi sector en las prácticas,"Poner un marco de limitaciones o facilitar la formación en empresa para los empresarios, no puede ser que te pidan experiencia para ser ayudante ya que ser ayudante es prácticamente hacer el mínimo indispensable que cualquier persona podría realizar, debería de regularizarse los requisitos según qué cargo oferte la empresa y que no elijan a dedo lo que les convenga"
